LHAD001221,LHAD001138,LHAD001840,LHAD001182,LHAD001219,LHAD001836,LHAD001826,LHAD001758,LHAD001794,LHAD001168,LHAD001772,LHAD001701,LHAD001131,LHAD001798,LHAD001792,LHAD001764,LHAD001065,LHAD002220,LHAD001740,LHAD001081,LHAD001090,LHAD001181,LHAD001220,LHAD001203,LHAD001192,LHAD001214,LHAD001189,LHAD001815,LHAD001178,LHAD001196,LHAD001774,LHAD001089,LHAD001088,LHAD001170,LHAD001084,LHAD001087,LHAD001086,LHAD001705,LHAD001071,LHAD001085,LHAD001796,LHAD001823,LHAD000647,LHAD000691,LHAD000513,LHAD000512,LHAD001519,LHAD000558,LHAD000680
8.928871,8.095741,0.033722,8.872585,9.016399,9.318037,9.020615,8.636036,9.397383,,8.309975,10.00946,8.952303,9.507227,10.000038,9.326839,9.615583,9.299936,9.174099,8.918333,8.041811,8.749475,9.449081,9.987144,9.439163,9.389944,9.372215,7.933083,9.407177,9.15637,9.858952,9.290762,0.034714,8.742409,9.222574,9.88821,8.981562,9.630461,8.864651,9.15575,,8.008585,10.126123,,8.794975,9.205589,10.007725,8.481436,9.693317
6.522837,6.759014,0.034466,5.525312,6.063004,7.010193,6.149664,6.46122,7.149172,,6.67099,6.300793,6.634045,6.366625,6.824226,6.271162,7.093878,7.108755,6.571932,6.170492,6.313686,6.25864,6.546021,6.427746,6.508827,5.688963,5.837612,6.610117,6.952915,5.538082,7.117682,7.440643,0.034838,6.156483,7.303648,6.527548,6.718225,6.606522,6.4575,6.830797,,6.288519,7.347536,,6.71711,6.352243,4.608126,5.730619,5.667763
0.783291,0.702581,0.034218,1.811314,0.818253,0.644932,0.974216,1.241512,0.878258,,0.636129,0.168486,0.378504,0.086536,0.586786,0.774612,0.962191,0.773621,0.841188,0.780067,0.448427,1.178408,0.508928,1.020708,1.597328,1.09993,0.880861,1.156588,0.688572,0.782795,0.611458,0.611582,0.034218,1.61047,1.014633,0.373917,0.236301,0.867472,1.16539,0.766802,,1.637993,0.407763,,0.967522,1.133032,0.637617,0.792837,0.719814
-2.050219,-2.484264,0.033474,-2.178164,-1.817265,-2.838221,-1.612701,-1.914091,-2.927485,,-2.781935,-2.261105,-1.535091,-2.306728,-1.883221,-1.955128,-2.760611,-2.656593,-2.074766,-1.719074,-2.615185,-1.626463,-2.301273,-2.365742,-1.831274,-2.538071,-2.424755,-2.473602,-2.744246,-1.781807,-2.900457,-2.665024,0.034838,-1.454878,-2.464304,-2.304497,-2.198248,-2.765198,-2.107496,-2.934799,,-1.45215,-1.95302,,-2.331028,-1.650639,-1.961575,-1.900702,-2.369585
-1.04476,-1.000872,0.033598,-1.385822,-0.750313,-0.946198,-1.016989,-1.578856,-1.671467,,-0.392389,-0.865488,-1.62981,-0.380239,-1.818256,-0.973349,-1.399708,-1.015377,-0.877266,-0.683985,-1.293087,-1.553812,-1.107121,-1.838217,-1.137123,-0.183735,-0.945826,-1.568193,-1.135635,-0.756884,-1.111336,-1.587658,0.03521,-1.313791,-1.322222,-0.892515,-1.091747,-1.061621,-1.545753,-1.100054,,-1.525297,-1.496162,,-1.352224,-1.094103,-0.72341,-0.386686,-0.952396
0.651999,1.395121,0.033598,1.014261,0.641088,1.193161,0.616665,0.102406,1.290359,,0.975952,0.88892,0.897846,1.098442,0.416069,0.918055,1.360407,1.208162,0.853338,0.262461,1.30065,0.231094,1.197252,0.522194,0.51116,0.697126,1.248951,0.965166,1.665268,0.866356,1.628199,1.452522,0.03521,0.00186,1.233454,0.952768,1.270027,1.555424,0.709276,1.408014,,-0.030994,0.347013,,1.117907,0.395365,1.013145,0.678654,1.474218
1.385946,1.480665,0.034094,1.690187,1.279573,1.129189,1.174688,1.249571,1.877766,,1.010914,0.9126,0.558271,0.810938,1.884089,0.908508,1.787882,1.420536,0.876026,0.704813,1.938267,1.382351,1.330032,1.58555,0.830278,0.408878,1.357927,1.604271,1.811066,0.553436,1.4886,1.942482,0.035706,0.983639,1.569061,1.031246,1.586542,1.709156,1.664028,1.611338,,1.372433,1.491203,,1.872559,1.407766,1.404667,0.564842,1.676674
-0.036449,0.194025,0.034094,0.737667,-0.012522,0.142574,0.996904,1.306477,0.848007,,0.618896,0.454254,1.231842,0.421896,1.390162,0.114679,0.416565,0.067692,0.243988,0.895243,0.360899,1.332388,0.044136,1.306105,0.872555,1.524429,-0.149889,0.264072,0.282545,0.135632,-0.060129,0.624723,0.035086,1.158819,0.255642,0.256386,0.233698,0.242624,0.651255,0.374289,,1.499882,1.121006,,0.821476,0.986738,0.614681,0.283537,0.269156
0.061369,-0.420532,0.033846,-0.571537,0.369205,-0.257502,0.318251,0.25651,-0.006819,,0.313787,0.283413,0.049219,0.42264,-0.103893,0.617409,0.057526,0.409746,0.232954,0.227995,-0.511408,0.547361,-0.280685,0.021448,0.726385,0.199108,-0.61121,-0.771637,-0.569305,0.342798,-0.149517,-0.557032,0.034962,0.331144,-0.345898,0.27833,-0.395861,-0.648031,-0.376024,-0.176916,,0.260229,0.332012,,-0.627823,-0.098066,-0.420904,0.492563,-0.672703
0.626335,0.287008,0.034218,-0.03335,-0.19824,-0.158072,-0.349369,-0.411234,-0.742502,,0.327053,0.284405,-0.199356,0.288992,-0.417929,-0.190182,0.32197,-0.415573,0.645428,-0.161915,0.180264,-0.599432,0.471487,-0.823584,0.330772,-0.422516,0.339947,-0.12125,0.316391,0.326557,0.37466,-0.323458,0.03459,-0.43355,0.401812,0.496283,0.330896,0.165882,0.437517,0.288124,,-0.054426,-0.400696,,-0.512896,-0.492439,-0.541534,0.362015,-0.006075
-0.493679,0.955248,0.033722,0.82346,0.062733,0.919046,-0.214729,-0.07823,0.451775,,-0.104637,-0.114555,0.350857,-0.034218,0.39958,-0.483141,0.539427,-0.548601,0.359907,-0.391397,0.79668,-0.516243,0.723534,-0.221424,-0.275974,-0.060749,0.79668,0.787878,1.047487,1.027403,0.346146,0.858545,0.034838,-0.186214,0.849867,0.018349,0.978184,1.160183,0.258865,0.556288,,0.396852,0.197868,,0.66452,0.085545,0.544262,-0.490704,0.649643
0.140839,0.44384,0.034714,0.852098,0.005703,-0.139227,0.770025,0.850983,0.266924,,-0.05331,-0.480289,0.81007,-0.119886,0.892143,0.385571,0.059757,0.74337,-0.384207,0.306349,0.413713,0.130548,-0.148897,0.877638,-0.260477,0.622368,0.410614,0.615425,0.627823,-0.656338,-0.26556,0.975952,0.034962,0.54637,0.349741,-0.291719,0.447435,0.478678,-0.429583,0.016365,,0.338211,0.684233,,0.682869,0.832758,1.028271,-0.374537,0.461569
0.17766,-0.319242,0.033846,-0.199852,0.806723,0.260105,1.060629,0.619888,0.512524,,0.604267,0.387182,0.360403,0.371561,0.292091,0.158319,-0.121746,0.109224,0.040541,0.728245,-0.178032,0.460205,0.026903,0.806227,0.636377,0.418177,-0.283909,-0.304737,-0.551205,0.256386,-0.141954,0.078602,0.03459,0.375156,-0.438137,0.002851,-0.458965,-0.368214,1.383963,-0.197372,,-0.61183,0.682993,,-0.009422,0.6003,0.245724,0.585918,-0.325937
0.68944,-0.237789,0.034342,-0.517979,0.775604,0.530748,0.01277,0.016737,0.405159,,0.889168,0.846891,-0.261841,1.077366,-0.209026,0.423756,0.438261,0.240021,0.478802,-0.358047,-0.194397,0.831642,0.549593,-0.037689,0.886564,-0.401936,0.19948,0.057774,-0.084181,0.355196,0.571909,-0.459709,0.03521,0.758495,0.097694,0.822592,0.01029,-0.113935,-0.284281,0.548105,,0.680761,-0.106993,,-0.317879,-0.178652,-0.559759,0.685472,-0.239649
0.653734,0.44322,0.034714,0.403671,-0.125217,0.125589,-0.386686,-0.552197,-0.015621,,0.251427,0.317259,-0.183859,0.236549,-0.211258,0.711136,0.726633,0.524178,0.299654,0.614309,0.618277,-0.351601,0.534096,-0.165882,0.222788,-0.137491,0.581703,0.393505,0.45723,0.282173,0.549593,0.231466,0.035458,-0.410366,0.258245,0.554056,0.420656,0.545006,0.420904,0.897102,,0.585546,-0.363007,,0.209646,-0.504589,-0.323458,-0.149145,0.631418
-0.060253,-0.074015,0.033722,0.606375,-0.389786,0.24436,0.0243,1.063604,-0.492315,,-0.533228,0.692539,0.559635,-0.681877,0.786266,0.240517,0.408258,0.496778,-0.85247,-0.163774,0.858421,0.184231,0.150013,0.21163,-0.221548,0.549469,0.198364,0.44136,0.47781,-0.154972,-0.026531,0.566082,0.035086,0.059881,0.026407,-0.243616,0.445948,0.329657,0.200224,0.168858,,0.240765,0.397844,,0.061865,0.80883,0.625839,-0.166502,0.65423
-0.408382,0.072527,0.03397,-0.445824,0.233326,0.248823,0.202827,-0.401564,0.065336,,-0.281677,-0.927849,1.01203,-0.279322,0.873547,-0.439377,-0.355444,-0.228491,0.712252,0.708532,0.072279,0.151377,0.319118,0.760107,0.309944,0.514383,-0.315027,-0.137119,-0.157452,0.424623,0.057774,-0.513763,0.03521,0.934544,0.023804,0.207167,-0.301638,-0.049591,-0.297794,-0.486116,,-0.131416,0.865488,,0.685101,0.224895,-0.146046,0.236425,-0.434914
0.163774,0.869579,0.03397,0.22068,0.989466,-0.130053,-0.16737,0.4638,0.779324,,0.418549,0.190802,-0.027523,0.591373,-0.050459,-0.093851,-0.028887,-0.312796,-0.184479,-0.01153,-1.066828,-0.210266,-0.768538,0.060873,0.657082,-0.022936,-0.15584,-0.378256,-0.112572,-0.340195,0.078106,0.52393,0.03521,-0.094223,0.968266,0.570545,-0.089388,-0.302382,-0.17704,-0.669975,,-0.573521,0.386686,,0.011282,0.746222,-0.328293,0.657206,0.258865
0.851727,-0.276718,0.033474,-0.143566,0.469379,-0.168362,1.081953,-0.43293,0.575132,,-0.014133,0.503349,-0.432682,-0.092115,-0.494299,0.530252,-0.226631,0.354824,0.477934,0.079346,0.74151,0.597448,0.427351,-0.029507,0.384827,-0.691175,0.626459,0.248947,0.398216,-0.461073,0.512028,-0.266428,0.035458,0.160427,-0.264196,-0.476694,0.46504,0.379868,0.501614,1.049719,,0.360403,-0.440989,,0.505829,0.017357,0.965786,0.366726,0.090628
0.490208,-0.201836,0.03459,1.060133,-0.539179,0.071411,-0.166502,0.278702,-0.185966,,0.144682,0.380116,-0.107861,0.385695,-0.522938,0.897226,0.682621,0.705185,0.671587,0.291967,0.126333,0.884085,0.72998,-0.343914,-0.217829,0.050955,0.586538,0.855322,0.785522,0.219564,-0.52145,1.109848,0.035334,0.273123,0.118151,0.285645,0.441856,0.64394,0.823336,0.055294,,0.785522,-0.150881,,-0.469131,-0.4457,-0.114307,-0.344534,0.145922
-0.215473,-0.051203,0.034466,-0.059509,-0.14183,0.647907,-0.272503,-0.13402,-0.025167,,0.362139,0.025043,0.514383,-0.348625,0.961943,0.085049,0.698738,0.441484,-0.929213,-0.517483,0.027895,0.040665,-0.850611,0.78887,-0.087404,0.724277,0.045004,0.176916,-0.055914,0.81912,0.540915,0.164766,0.035458,0.06546,0.905409,0.468512,0.168238,-0.495911,0.100174,-0.014753,,0.289488,0.482893,,0.455618,0.842056,-0.408506,-0.37776,0.488844
-0.551205,0.980043,0.034218,-0.295811,0.435781,0.350733,0.230598,0.289116,0.386934,,0.034094,0.127077,0.212374,0.460329,0.363131,-0.719442,-0.497026,-0.417681,0.866604,0.161791,0.561743,-0.491447,0.348501,-0.485868,0.815897,0.437393,-0.838089,-0.536823,-0.471239,0.308456,0.60092,-0.703201,0.035582,-0.069427,-0.375156,0.159807,-0.174685,0.541039,-0.516491,0.328913,,-0.196629,0.454626,,0.318623,-0.375776,0.018101,0.113068,0.128441
